model;method;features/C;BA;Score
lda;rfe;5;0.4803330749418619;0.4803330749418619
lda;rfe;30;0.5301192768372884;0.48011927683728844
xgb;rfe;5;0.47817008826986074;0.47817008826986074
dt;rfe;10;0.48764722062464055;0.47764722062464054
lr;rfe;30;0.5275061888925008;0.4775061888925008
rf;rfe;15;0.49712435297942037;0.47712435297942035
lda;rfe;10;0.4851091495586507;0.4751091495586507
lr;rfe;10;0.48272111225025627;0.47272111225025626
rf;rfe;10;0.48272111225025627;0.47272111225025626
rf;rfe;25;0.512502813132955;0.472502813132955
xgb;rfe;25;0.5124277962541572;0.47242779625415726
knn;rfe;20;0.5005626265909829;0.4705626265909829
lda;rfe;20;0.5004876097121853;0.4704876097121853
svc;rfe;10;0.4804831086994574;0.47048310869945736
svc;l1;0.0005;0.6572353779600411;0.46923537796004106
knn;rfe;15;0.48764722062464055;0.46764722062464054
lr;rfe;15;0.4874221699882474;0.46742216998824737
svc;rfe;25;0.5059388362381536;0.46593883623815363
lr;rfe;20;0.49541146758020554;0.4654114675802056
lda;rfe;15;0.482796129129054;0.462796129129054
lda;l1;0.05;0.507201620364582;-0.46079837963541803
rf;rfe;5;0.4606286414443249;0.4606286414443249
lr;rfe;5;0.46032857392913407;0.46032857392913407
dt;rfe;25;0.4998874746818034;0.4598874746818034
xgb;l1;0.001;0.7974919356855292;0.4514919356855292
lr;l1;0.05;0.516903803355755;-0.45109619664424505
svc;rfe;20;0.48093320997224376;0.45093320997224373
knn;rfe;25;0.4907854267210122;0.45078542672101224
rf;rfe;20;0.4798079567902778;0.44980795679027785
xgb;rfe;20;0.47741991948188345;0.4474199194818834
svc;rfe;15;0.4654047160611138;0.44540471606111376
lda;rfe;25;0.4852591833162461;0.44525918331624614
xgb;rfe;15;0.46196644244955115;0.44196644244955113
lr;rfe;25;0.4802580580630642;0.44025805806306423
svc;rfe;5;0.43898627191118;0.43898627191118
knn;rfe;5;0.43017178865244676;0.43017178865244676
rf;l1;0.0005;0.6120752169238078;0.4280752169238078
lda;l1;0.02;0.5195919081793403;-0.40240809182065973
lr;l1;0.02;0.521904928608937;-0.40209507139106304
lr;l1;0.0005;0.5347453176964817;0.37074531769648167
dt;l1;0.001;0.7150108774474258;0.3670108774474257
lda;l1;0.0005;0.5248931009477132;0.3408931009477132
lr;l1;0.01;0.5069765697281888;-0.33702343027181125
lda;l1;0.01;0.5194418744217448;-0.32855812557825526
knn;l1;0.001;0.6715636018104074;0.3255636018104074
svc;l1;0.05;0.6367807756745267;-0.31921922432547334
rf;l1;0.02;0.6190142782125978;-0.31098572178740225
svc;l1;0.02;0.6293916131129504;-0.3066083868870496
svc;l1;0.001;0.6221524843089695;0.2881524843089695
rf;l1;0.05;0.6814908354379735;-0.2765091645620267
knn;l1;0.05;0.7064214448250856;-0.25357855517491434
rf;l1;0.001;0.602072966417444;0.252072966417444
xgb;l1;0.002;0.7603960891200521;0.24239608912005206
dt;l1;0.002;0.7621839913980646;0.22818399139806456
knn;l1;0.02;0.7044084919106799;-0.22359150808932027
lr;l1;0.005;0.5218299117301393;-0.21617008826986073
svc;l1;0.01;0.6366307419169313;-0.21536925808306884
lda;l1;0.005;0.5369083043684829;-0.20109169563151708
dt;l1;0.05;0.7505438723712836;-0.19745612762871656
knn;l1;0.002;0.729339101297792;0.19533910129779197
lr;l1;0.001;0.5372083718836738;0.19520837188367374
lda;l1;0.001;0.5322822635092896;0.19228226350928962
rf;l1;0.01;0.6650746417944038;-0.1869253582055963
xgb;l1;0.05;0.7998049561151259;-0.15419504388487415
dt;l1;0.02;0.7705483733840114;-0.15345162661598866
rf;l1;0.002;0.6599234827836262;0.1419234827836262
xgb;l1;0.02;0.7825635768047812;-0.13543642319521898
svc;l1;0.002;0.6368557925533245;0.11885579255332446
knn;l1;0.01;0.7373283988897501;-0.10467160111024998
dt;l1;0.01;0.7606211397564452;-0.0993788602435548
svc;l1;0.005;0.6390187792253257;-0.09298122077467441
rf;l1;0.005;0.6616363681828412;-0.07836363181715877
xgb;l1;0.005;0.7951038983771348;0.07110389837713471
xgb;l1;0.01;0.7977920032007202;-0.04620799679927989
knn;l1;0.005;0.7120977219874471;-0.023902278012552958
dt;l1;0.005;0.7577830011752644;0.021783001175264327
lda;l1;0.002;0.5421344802580581;0.020134480258058085
lr;l1;0.002;0.516903803355755;-0.005096196644244988
