,model,features,BA,Score
0,xgb,5,0.8272736365682278,0.8172736365682278
1,xgb,10,0.8272736365682278,0.8172736365682278
2,xgb,15,0.8272736365682278,0.8172736365682278
3,xgb,20,0.8272736365682278,0.8172736365682278
4,xgb,25,0.8272736365682278,0.8172736365682278
5,xgb,30,0.8272736365682278,0.8172736365682278
6,lda,5,0.5575129404115926,0.5475129404115926
7,lda,10,0.5575129404115926,0.5475129404115926
8,lda,15,0.5575129404115926,0.5475129404115926
9,lda,20,0.5575129404115926,0.5475129404115926
10,lda,25,0.5575129404115926,0.5475129404115926
11,lda,30,0.5575129404115926,0.5475129404115926
12,svc,5,0.7865894826335925,0.7765894826335925
13,svc,10,0.7865894826335925,0.7765894826335925
14,svc,15,0.7865894826335925,0.7765894826335925
15,svc,20,0.7865894826335925,0.7765894826335925
16,svc,25,0.7865894826335925,0.7765894826335925
17,svc,30,0.7865894826335925,0.7765894826335925
18,lr,5,0.5575129404115926,0.5475129404115926
19,lr,10,0.5575129404115926,0.5475129404115926
20,lr,15,0.5575129404115926,0.5475129404115926
21,lr,20,0.5575129404115926,0.5475129404115926
22,lr,25,0.5575129404115926,0.5475129404115926
23,lr,30,0.5575129404115926,0.5475129404115926
24,rf,5,0.8472781375809557,0.8372781375809557
25,rf,10,0.8472781375809557,0.8372781375809557
26,rf,15,0.842201995448976,0.832201995448976
27,rf,20,0.8321997449426121,0.822199744942612
28,rf,25,0.8446650496361682,0.8346650496361682
29,rf,30,0.8395889075041885,0.8295889075041885
30,dt,5,0.737103348253357,0.727103348253357
31,dt,10,0.7272511315045885,0.7172511315045885
32,dt,15,0.7297892025705783,0.7197892025705783
33,dt,20,0.7599459878472656,0.7499459878472656
34,dt,25,0.7623340251556601,0.7523340251556601
35,dt,30,0.7524067915280939,0.7424067915280939
36,knn,5,0.8471281038233602,0.8371281038233602
37,knn,10,0.8471281038233602,0.8371281038233602
38,knn,15,0.8471281038233602,0.8371281038233602
39,knn,20,0.8471281038233602,0.8371281038233602
40,knn,25,0.8471281038233602,0.8371281038233602
41,knn,30,0.8471281038233602,0.8371281038233602
