,BA boruta,Score boruta,BA chi,Score chi,BA rfe,Score rfe,BA gini,Score gini,BA l1,Score l1
xgb,0.8700457602960666,0.8380457602960666,0.8547423170213297,0.8447423170213297,0.502500562626591,0.49250056262659103,0.8098072066214899,0.7998072066214899,0.8124953114450751,0.7785953114450751
lda,0.545197669475632,0.513197669475632,0.5572878897751994,0.5472878897751994,0.4851091495586507,0.4751091495586507,0.5499737440924208,0.5399737440924208,0.5345952839388862,0.5006952839388862
svc,0.8469780700657648,0.8149780700657647,0.8213723087694731,0.8113723087694731,0.4804831086994574,0.47048310869945736,0.7661348803480783,0.7561348803480783,0.6318546673001425,0.5979546673001425
lr,0.5475106899052287,0.5155106899052286,0.5572878897751994,0.5472878897751994,0.48272111225025627,0.47272111225025626,0.5572878897751994,0.5472878897751994,0.5370583381260783,0.5031583381260782
rf,0.8747468180340576,0.8427468180340576,0.8522042459553401,0.84220424595534,0.4971993698582181,0.4871993698582181,0.8298117076342177,0.8198117076342177,0.6645495236428196,0.6306495236428196
dt,0.7951038983771348,0.7631038983771348,0.8201095246430448,0.8101095246430448,0.5072766372433798,0.4972766372433798,0.7298642194493761,0.7198642194493761,0.7807006576479708,0.7468006576479708
knn,0.8773599059788453,0.8453599059788452,0.8872871396064115,0.8772871396064115,0.4927233627566202,0.4827233627566202,0.8523542797129353,0.8423542797129353,0.7196369183066189,0.6857369183066189
