model;method;features/C;BA;Score
xgb;gini;60;0.8257471827535522;0.8257471827535522
xgb;gini;70;0.8257471827535522;0.8257471827535522
xgb;gini;80;0.8257471827535522;0.8257471827535522
xgb;gini;90;0.8257471827535522;0.8257471827535522
xgb;gini;100;0.8257471827535522;0.8257471827535522
xgb;gini;110;0.8257471827535522;0.8257471827535522
xgb;gini;120;0.8257471827535522;0.8257471827535522
xgb;gini;130;0.8257471827535522;0.8257471827535522
xgb;gini;140;0.8257471827535522;0.8257471827535522
xgb;gini;150;0.8257471827535522;0.8257471827535522
dt;chi2;40;0.8250857422831945;0.8250857422831945
knn;chi2;140;0.8282459578637922;0.8242459578637922
rf;gini;50;0.8238363547280745;0.8238363547280745
rf;gini;70;0.8238363547280745;0.8238363547280745
rf;gini;80;0.8238363547280745;0.8238363547280745
rf;gini;120;0.8238363547280745;0.8238363547280745
rf;gini;140;0.8238363547280745;0.8238363547280745
rf;gini;20;0.8231994120529152;0.8231994120529152
rf;gini;40;0.8231994120529152;0.8231994120529152
rf;gini;90;0.8231994120529152;0.8231994120529152
dt;gini;80;0.8231994120529152;0.8231994120529152
dt;gini;150;0.8231994120529152;0.8231994120529152
svc;chi2;25;0.8231014208721215;0.8231014208721215
svc;chi2;20;0.8211660950514454;0.8211660950514454
rf;gini;100;0.8199902008819207;0.8199902008819207
rf;gini;130;0.8199902008819207;0.8199902008819207
xgb;chi2;25;0.819892209701127;0.819892209701127
dt;gini;20;0.8193532582067614;0.8193532582067614
dt;gini;40;0.8193532582067614;0.8193532582067614
dt;gini;100;0.8193532582067614;0.8193532582067614
dt;gini;120;0.8193532582067614;0.8193532582067614
dt;gini;130;0.8193532582067614;0.8193532582067614
knn;chi2;30;0.8192552670259676;0.8192552670259676
knn;chi2;150;0.8237383635472808;0.8187383635472808
dt;chi2;30;0.8186428221460069;0.8186428221460069
xgb;chi2;20;0.8179568838804507;0.8179568838804507
knn;chi2;130;0.8205536501714845;0.8175536501714845
dt;gini;30;0.8155071043606075;0.8155071043606075
dt;gini;50;0.8155071043606075;0.8155071043606075
dt;gini;60;0.8155071043606075;0.8155071043606075
dt;gini;70;0.8155071043606075;0.8155071043606075
dt;gini;90;0.8155071043606075;0.8155071043606075
dt;gini;110;0.8155071043606075;0.8155071043606075
dt;gini;140;0.8155071043606075;0.8155071043606075
xgb;l1;0.01;0.8122488975992161;0.8122488975992161
rf;l1;0.01;0.8122488975992161;0.8122488975992161
dt;l1;0.01;0.8122488975992161;0.8122488975992161
knn;gini;20;0.8110240078392945;0.8110240078392945
knn;gini;30;0.8110240078392945;0.8110240078392945
knn;gini;40;0.8110240078392945;0.8110240078392945
knn;gini;50;0.8110240078392945;0.8110240078392945
knn;gini;60;0.8110240078392945;0.8110240078392945
