,model,features,BA,Score
59,lr,30,0.77437530622244,0.77437530622244
60,lr,40,0.8416952474277315,0.8416952474277315
61,lr,50,0.8654091131798138,0.8654091131798138
62,lr,60,0.8679568838804508,0.8679568838804508
63,lr,70,0.8564184223419893,0.8564184223419893
64,lr,80,0.8653846153846154,0.8653846153846154
65,lr,90,0.8692307692307693,0.8692307692307693
66,lr,100,0.8762861342479177,0.8762861342479177
67,lr,110,0.8961538461538461,0.8951538461538461
68,lr,120,0.9,0.898
69,lr,130,0.9,0.897
70,lr,140,0.8961538461538461,0.8921538461538461
71,lr,150,0.9147476727094561,0.9097476727094561
72,rf,5,0.7109015188633023,0.7109015188633023
73,rf,10,0.7301322880940715,0.7301322880940715
74,rf,15,0.7891229789318961,0.7891229789318961
75,rf,20,0.8096276335129838,0.8096276335129838
76,rf,25,0.8102890739833415,0.8102890739833415
77,rf,30,0.8353013228809407,0.8353013228809407
78,rf,40,0.8455903968642822,0.8455903968642822
79,rf,50,0.8955903968642822,0.8955903968642822
80,rf,60,0.889171974522293,0.889171974522293
81,rf,70,0.8930181283684469,0.8930181283684469
82,rf,80,0.8846643802057814,0.8846643802057814
83,rf,90,0.8744243018128368,0.8744243018128368
84,rf,100,0.8821166095051445,0.8821166095051445
85,rf,110,0.8744243018128368,0.8734243018128368
86,rf,120,0.8898089171974523,0.8878089171974523
87,rf,130,0.8756981871631553,0.8726981871631553
88,rf,140,0.8756981871631553,0.8716981871631553
89,rf,150,0.8923566878980892,0.8873566878980892
90,dt,5,0.7109015188633023,0.7109015188633023
91,dt,10,0.7339784419402253,0.7339784419402253
92,dt,15,0.788486036256737,0.788486036256737
93,dt,20,0.7929691327780499,0.7929691327780499
94,dt,25,0.8025967662910338,0.8025967662910338
95,dt,30,0.8186428221460069,0.8186428221460069
96,dt,40,0.8250857422831945,0.8250857422831945
97,dt,50,0.8468887800097991,0.8468887800097991
98,dt,60,0.8468887800097991,0.8468887800097991
99,dt,70,0.844953454189123,0.844953454189123
100,dt,80,0.849436550710436,0.849436550710436
101,dt,90,0.8417687408133268,0.8417687408133268
102,dt,100,0.8417687408133268,0.8417687408133268
103,dt,110,0.843704066634003,0.842704066634003
104,dt,120,0.8488241058304753,0.8468241058304753
105,dt,130,0.8385595296423323,0.8355595296423323
106,dt,140,0.8558794708476237,0.8518794708476237
107,dt,150,0.8469132778049975,0.8419132778049975
108,knn,5,0.71859382655561,0.71859382655561
109,knn,10,0.7455169034786869,0.7455169034786869
110,knn,15,0.7903968642822146,0.7903968642822146
111,knn,20,0.80578147966683,0.80578147966683
112,knn,25,0.8077168054875061,0.8077168054875061
113,knn,30,0.8192552670259676,0.8192552670259676
114,knn,40,0.8397844194022538,0.8397844194022538
115,knn,50,0.8487996080352769,0.8487996080352769
116,knn,60,0.8436550710436062,0.8436550710436062
117,knn,70,0.839171974522293,0.839171974522293
118,knn,80,0.8346643802057815,0.8346643802057815
119,knn,90,0.8391474767270946,0.8391474767270946
120,knn,100,0.8320921117099461,0.8320921117099461
121,knn,110,0.8314551690347869,0.8304551690347869
122,knn,120,0.8282459578637922,0.8262459578637922
123,knn,130,0.8205536501714845,0.8175536501714845
124,knn,140,0.8282459578637922,0.8242459578637922
125,knn,150,0.8237383635472808,0.8187383635472808
